Date,Location,New Cases,New Deaths,New Recovered,Total Deaths,Total Recovered,Total Active Cases,Province,Total Regencies,Total Urban Villages,Total Rural Villages,Population,Scored Probabilities_Aceh,Scored Probabilities_Bali,Scored Probabilities_Banten,Scored Probabilities_Bengkulu,Scored Probabilities_DKI Jakarta,Scored Probabilities_Daerah Istimewa Yogyakarta,Scored Probabilities_Indonesia,Scored Probabilities_Jambi,Scored Probabilities_Jawa Barat,Scored Probabilities_Jawa Tengah,Scored Probabilities_Jawa Timur,Scored Probabilities_Kalimantan Barat,Scored Probabilities_Kalimantan Selatan,Scored Probabilities_Kalimantan Tengah,Scored Probabilities_Kalimantan Timur,Scored Probabilities_Kalimantan Utara,Scored Probabilities_Kepulauan Bangka Belitung,Scored Probabilities_Kepulauan Riau,Scored Probabilities_Lampung,Scored Probabilities_Maluku,Scored Probabilities_Maluku Utara,Scored Probabilities_Nusa Tenggara Barat,Scored Probabilities_Nusa Tenggara Timur,Scored Probabilities_Papua,Scored Probabilities_Papua Barat,Scored Probabilities_Riau,Scored Probabilities_Sulawesi Barat,Scored Probabilities_Sulawesi Selatan,Scored Probabilities_Sulawesi Tengah,Scored Probabilities_Sulawesi Tenggara,Scored Probabilities_Sulawesi Utara,Scored Probabilities_Sumatera Barat,Scored Probabilities_Sumatera Selatan,Scored Probabilities_Sumatera Utara,Scored Labels
2021-05-08,Daerah Istimewa Yogyakarta,137,10,261,1013,36872,3037,Daerah Istimewa Yogyakarta,4,46.0,392.0,3631015,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Daerah Istimewa Yogyakarta
2020-04-11,Kalimantan Timur,0,0,0,3,124,-94,Kalimantan Timur,7,197.0,841.0,3552191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kalimantan Timur
2021-04-06,Kalimantan Barat,36,0,47,34,5558,535,Kalimantan Barat,12,99.0,2031.0,5422814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kalimantan Barat
2020-06-15,Papua Barat,1,0,0,4,96,109,Papua Barat,12,95.0,1742.0,1140701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Papua Barat
2021-03-26,DKI Jakarta,1381,11,897,6260,364008,6596,DKI Jakarta,1,267.0,0.0,10846145,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DKI Jakarta
2020-12-22,Kalimantan Timur,182,7,91,692,20998,2785,Kalimantan Timur,7,197.0,841.0,3552191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kalimantan Timur
2020-11-10,Kalimantan Tengah,20,2,25,164,4056,447,Kalimantan Tengah,13,139.0,1432.0,2570289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kalimantan Tengah
2020-09-15,Riau,166,5,76,80,1786,2236,Riau,10,268.0,1591.0,6074100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Riau
2020-08-23,Sumatera Barat,68,1,37,49,1072,512,Sumatera Barat,12,230.0,928.0,5519245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Sumatera Barat
2021-05-26,Indonesia,5034,144,3189,49771,1645263,96187,0,416,8488.0,74953.0,265185520,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Indonesia
